Vorname_Nachname;Nachname;Vorname;Geschlecht;Fraktion
Egon Jüttner;Jüttner;Egon;m;CDU/CSU
Oliver Kaczmarek;Kaczmarek;Oliver;m;SPD
Johannes Kahrs;Kahrs;Johannes;m;SPD
Bartholomäus Kalb;Kalb;Bartholomäus;m;CDU/CSU
Hans-Werner Kammer;Kammer;Hans-Werner;m;CDU/CSU
Heiner Kamp;Kamp;Heiner;m;FDP
Steffen Kampeter;Kampeter;Steffen;m;CDU/CSU
Alois Karl;Karl;Alois;m;CDU/CSU
Bernhard Kaster;Kaster;Bernhard;m;CDU/CSU
Susanne Kastner;Kastner;Susanne;f;SPD
Michael Kauch;Kauch;Michael;m;FDP
Siegfried Kauder;Kauder;Siegfried;m;CDU/CSU
Volker Kauder;Kauder;Volker;m;CDU/CSU
Stefan Kaufmann;Kaufmann;Stefan;m;CDU/CSU
Uwe Kekeritz;Kekeritz;Uwe;m;BÜNDNIS 90/DIE GRÜNEN
Ulrich Kelber;Kelber;Ulrich;m;SPD
Katja Keul;Keul;Katja;f;BÜNDNIS 90/DIE GRÜNEN
Susanne Kieckbusch;Kieckbusch;Susanne;f;BÜNDNIS 90/DIE GRÜNEN
Roderich Kiesewetter;Kiesewetter;Roderich;m;CDU/CSU
Memet Kilic;Kilic;Memet;m;BÜNDNIS 90/DIE GRÜNEN
Sven-Christian Kindler;Kindler;Sven-Christian;m;BÜNDNIS 90/DIE GRÜNEN
Katja Kipping;Kipping;Katja;f;DIE LINKE
Eckart von Klaeden;von Klaeden;Eckart;m;CDU/CSU
Ewa Klamt;Klamt;Ewa;f;CDU/CSU
Volkmar Klein;Klein;Volkmar;m;CDU/CSU
Maria Klein-Schmeink;Klein-Schmeink;Maria;f;BÜNDNIS 90/DIE GRÜNEN
Jürgen Klimke;Klimke;Jürgen;m;CDU/CSU
Lars Klingbeil;Klingbeil;Lars;m;SPD
Julia Klöckner;Klöckner;Julia;f;CDU/CSU
Hans-Ulrich Klose;Klose;Hans-Ulrich;m;SPD
Astrid Klug;Klug;Astrid;f;SPD
Axel Knoerig;Knoerig;Axel;m;CDU/CSU
Lutz Knopek;Knopek;Lutz;m;FDP
Pascal Kober;Kober;Pascal;m;FDP
Harald Koch;Koch;Harald;m;DIE LINKE
Ute Koczy;Koczy;Ute;f;BÜNDNIS 90/DIE GRÜNEN
Tom Koenigs;Koenigs;Tom;m;BÜNDNIS 90/DIE GRÜNEN
Jens Koeppen;Koeppen;Jens;m;CDU/CSU
